regions;maternal_death_estimated;year
East Asia and Pacific;18000;2020
Europe and Central Asia;1300;2020
Eastern Europe and Central Asia;1000;2020
Western Europe;290;2020
Latin America and Caribbean;8400;2020
Middle East and North Africa;5200;2020
North America;810;2020
South Asia;47000;2020
Sub-Saharan Africa;206000;2020
Eastern and Southern Africa;59000;2020
West and Central Africa;147000;2020
Australia/New Zealand;13;2020
Central and Southern Asia;48000;2020
Eastern and South-Eastern Asia;18000;2020
Europe and Northern America;1400;2020
Latin America and the Caribbean;8400;2020
Northern Africa and Western Asia;9400;2020
Oceania (excluding Australia and New Zealand);540;2020
Sub-Saharan Africa;202000;2020
