region;legal_frameworks_pourcentage
Albania;80
Antigua and Barbuda;60
Argentina;60
Armenia;90
Australia;100
Austria;100
Azerbaijan;50
Bangladesh;20
Barbados;60
Belarus;70
Belize;40
Bolivia (Plurinational State of);80
Bosnia and Herzegovina;70
Brazil;80
Bulgaria;100
Cabo Verde;70
Cambodia;60
Cameroon;50
Canada;90
Chile;80
China;60
Colombia;80
Costa Rica;80
Croatia;100
Cyprus;90
Czechia;90
Côte d'Ivoire;80
Denmark;90
Dominican Republic;90
Ecuador;80
El Salvador;90
Ethiopia;50
Fiji;80
Finland;100
France;90
Georgia;90
Germany;100
Ghana;60
Greece;100
Grenada;80
Guatemala;60
Guinea;50
Haiti;70
Honduras;60
Hungary;90
Iceland;100
India;40
Iraq;70
Ireland;90
Israel;70
Italy;100
Jamaica;50
Japan;70
Jordan;40
Kazakhstan;60
Kenya;90
Kyrgyzstan;40
Latvia;100
Lebanon;50
Liberia;90
Lithuania;100
Luxembourg;100
Madagascar;40
Malawi;70
Malaysia;40
Malta;90
Mauritius;100
Mexico;80
Mongolia;80
Montenegro;80
Morocco;70
Mozambique;70
Namibia;70
Nepal;70
Netherlands (Kingdom of the);100
New Zealand;100
Nicaragua;70
Nigeria;40
North Macedonia;80
Norway;100
Pakistan;50
Panama;80
Papua New Guinea;30
Paraguay;100
Peru;100
Philippines;100
Poland;100
Portugal;100
Republic of Korea;70
Republic of Moldova;100
Romania;100
Rwanda;90
Serbia;100
Seychelles;80
Slovakia;90
Slovenia;90
Solomon Islands;20
South Sudan;80
Spain;100
State of Palestine;30
Sudan;0
Suriname;80
Sweden;100
Switzerland;100
Thailand;60
Trinidad and Tobago;80
Tunisia;40
Türkiye;90
Uganda;80
Ukraine;50
United Arab Emirates;80
United Kingdom;100
United Republic of Tanzania;80
United States;80
Uruguay;90
Uzbekistan;60
Viet Nam;100
Zimbabwe;70
