region;maternal_deaths_estimated
Afghanistan;8698
Albania;2
Algeria;758
Angola;2914
Antigua and Barbuda;0
Argentina;286
Armenia;10
Australia;9
Austria;4
Azerbaijan;54
Bahamas;4
Bahrain;3
Bangladesh;3719
Barbados;1
Belarus;1
Belgium;5
Belize;9
Benin;2451
Bhutan;6
Bolivia (Plurinational State of);423
Bosnia and Herzegovina;2
Botswana;115
Brazil;2011
Brunei Darussalam;3
Bulgaria;4
Burkina Faso;2049
Burundi;2151
Cabo Verde;4
Cambodia;711
Cameroon;4119
Canada;41
Central African Republic;1888
Chad;7764
Chile;34
China;2822
Colombia;548
Comoros;52
Congo;503
Costa Rica;14
Croatia;2
Cuba;42
Cyprus;9
Czechia;4
Côte d'Ivoire;4401
Democratic People's Republic of Korea;368
Democratic Republic of the Congo;21511
Denmark;3
Djibouti;56
Dominican Republic;222
Ecuador;197
Egypt;417
El Salvador;44
Equatorial Guinea;106
Eritrea;328
Estonia;1
Eswatini;69
Ethiopia;10246
Fiji;7
Finland;4
France;54
Gabon;143
Gambia;399
Georgia;14
Germany;34
Ghana;2373
Greece;6
Grenada;0
Guatemala;362
Guinea;2557
Guinea-Bissau;464
Guyana;18
Haiti;950
Honduras;155
Hungary;14
Iceland;0
India;23753
Indonesia;7826
Iran (Islamic Republic of);274
Iraq;897
Ireland;3
Israel;5
Italy;19
Jamaica;33
Japan;36
Jordan;100
Kazakhstan;57
Kenya;7716
Kiribati;3
Kuwait;4
Kyrgyzstan;81
Lao People's Democratic Republic;207
Latin America and the Caribbean;8396
Latin America and the Caribbean;8396
Latvia;3
Lebanon;18
Lesotho;334
Liberia;1050
Libya;88
Lithuania;2
Luxembourg;0
Madagascar;3465
Malawi;2452
Malaysia;108
Maldives;4
Mali;3927
Malta;0
Mauritania;696
Mauritius;11
Mexico;1159
Micronesia (Federated States of);1
Mongolia;29
Montenegro;0
Morocco;472
Mozambique;1466
Myanmar;1658
Namibia;148
Nepal;1052
Netherlands (Kingdom of the);7
New Zealand;4
Nicaragua;110
Niger;4896
Nigeria;81747
North Macedonia;1
Norway;1
Oman;15
Pakistan;9809
Panama;38
Papua New Guinea;485
Paraguay;99
Peru;406
Philippines;1935
Poland;7
Portugal;10
Puerto Rico;9
Qatar;2
Republic of Korea;24
Republic of Moldova;5
Romania;20
Russian Federation;197
Rwanda;1033
Saint Lucia;1
Saint Vincent and the Grenadines;1
Samoa;4
Sao Tome and Principe;9
Saudi Arabia;108
Senegal;1417
Serbia;7
Seychelles;0
Sierra Leone;1165
Singapore;3
Slovakia;3
Slovenia;1
Solomon Islands;26
Somalia;4519
South Africa;1516
South Sudan;3790
Spain;12
Sri Lanka;89
State of Palestine;30
Sudan;4112
Suriname;11
Sweden;5
Switzerland;6
Syrian Arab Republic;121
Tajikistan;44
Thailand;188
Timor-Leste;67
Togo;1089
Tonga;3
Trinidad and Tobago;5
Tunisia;74
Turkmenistan;7
Türkiye;219
Uganda;4700
Ukraine;56
United Arab Emirates;9
United Kingdom;67
United Republic of Tanzania;5390
United States;774
Uruguay;7
Uzbekistan;251
Vanuatu;8
Venezuela (Bolivarian Republic of);1208
Viet Nam;1849
Yemen;1852
Zambia;891
Zimbabwe;1734
